Atualizado - Pokemon | 1001 - Wo-chien

Atualizado - Pokemon Ability | Pokemon ID: 1001 - Ability Id: 286 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1001 - Ability Id: 286 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 1 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 2 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 3 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 4 - Base Stat: 95 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 5 - Base Stat: 135 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1001 - Color ID: 3


Já cadastrado  - Pokemon Generation | Pokemon ID: 1001 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1002 - Chien-pao

Atualizado - Pokemon Ability | Pokemon ID: 1002 - Ability Id: 285 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1002 - Ability Id: 285 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 1 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 2 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 3 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 4 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 5 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 6 - Base Stat: 135 - Effort: 3

Já cadastrado  - Pokemon Color | Pokemon ID: 1002 - Color ID: 9


Já cadastrado  - Pokemon Generation | Pokemon ID: 1002 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1003 - Ting-lu

Atualizado - Pokemon Ability | Pokemon ID: 1003 - Ability Id: 284 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1003 - Ability Id: 284 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 1 - Base Stat: 155 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 2 - Base Stat: 110 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 3 - Base Stat: 125 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 4 - Base Stat: 55 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 5 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1003 - Stat ID: 6 - Base Stat: 45 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1003 - Color ID: 3


Já cadastrado  - Pokemon Generation | Pokemon ID: 1003 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1004 - Chi-yu

Atualizado - Pokemon Ability | Pokemon ID: 1004 - Ability Id: 287 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1004 - Ability Id: 287 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 1 - Base Stat: 55 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 2 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 3 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 4 - Base Stat: 135 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 5 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1004 - Stat ID: 6 - Base Stat: 100 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1004 - Color ID: 8


Já cadastrado  - Pokemon Generation | Pokemon ID: 1004 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1005 - Roaring-moon

Atualizado - Pokemon Ability | Pokemon ID: 1005 - Ability Id: 281 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1005 - Ability Id: 281 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 1 - Base Stat: 105 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 2 - Base Stat: 139 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 3 - Base Stat: 71 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 4 - Base Stat: 55 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 5 - Base Stat: 101 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1005 - Stat ID: 6 - Base Stat: 119 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1005 - Color ID: 5


Já cadastrado  - Pokemon Generation | Pokemon ID: 1005 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1006 - Iron-valiant

Atualizado - Pokemon Ability | Pokemon ID: 1006 - Ability Id: 282 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1006 - Ability Id: 282 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 1 - Base Stat: 74 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 2 - Base Stat: 130 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 3 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 4 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 5 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1006 - Stat ID: 6 - Base Stat: 116 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1006 - Color ID: 9


Já cadastrado  - Pokemon Generation | Pokemon ID: 1006 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1007 - Koraidon

Atualizado - Pokemon Ability | Pokemon ID: 1007 - Ability Id: 288 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1007 - Ability Id: 288 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 1 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 2 - Base Stat: 135 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 3 - Base Stat: 115 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 4 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 5 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1007 - Stat ID: 6 - Base Stat: 135 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1007 - Color ID: 8


Já cadastrado  - Pokemon Generation | Pokemon ID: 1007 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1008 - Miraidon

Atualizado - Pokemon Ability | Pokemon ID: 1008 - Ability Id: 289 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1008 - Ability Id: 289 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 1 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 2 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 3 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 4 - Base Stat: 135 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 5 - Base Stat: 115 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1008 - Stat ID: 6 - Base Stat: 135 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1008 - Color ID: 2


Já cadastrado  - Pokemon Generation | Pokemon ID: 1008 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1009 - Walking-wake

Atualizado - Pokemon Ability | Pokemon ID: 1009 - Ability Id: 281 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1009 - Ability Id: 281 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 1 - Base Stat: 99 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 2 - Base Stat: 83 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 3 - Base Stat: 91 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 4 - Base Stat: 125 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 5 - Base Stat: 83 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1009 - Stat ID: 6 - Base Stat: 109 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1009 - Color ID: 2


Já cadastrado  - Pokemon Generation | Pokemon ID: 1009 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 1010 - Iron-leaves

Atualizado - Pokemon Ability | Pokemon ID: 1010 - Ability Id: 282 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1010 - Ability Id: 282 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 1 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 2 - Base Stat: 130 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 3 - Base Stat: 88 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 5 - Base Stat: 108 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1010 - Stat ID: 6 - Base Stat: 104 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1010 - Color ID: 5


Já cadastrado  - Pokemon Generation | Pokemon ID: 1010 - Generation ID: 9


-------------------------

Atualizado - Pokemon | 10001 - Deoxys-attack

Atualizado - Pokemon Ability | Pokemon ID: 10001 - Ability Id: 46 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 2 - Base Stat: 180 - Effort: 2
Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 3 - Base Stat: 20 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 4 - Base Stat: 180 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 5 - Base Stat: 20 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10001 - Stat ID: 6 - Base Stat: 150 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10001 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10001 - Egg Group ID: 15

Já cadastrado  - Pokemon Generation | Pokemon ID: 10001 - Generation ID: 3

Já cadastrado  - Pokemon Habitat | Pokemon ID: 10001 - Habitat ID: 5

Já cadastrado  - Pokemon Shape | Pokemon ID: 10001 - Shape ID: 12


-------------------------

Atualizado - Pokemon | 10002 - Deoxys-defense

Atualizado - Pokemon Ability | Pokemon ID: 10002 - Ability Id: 46 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 2 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 3 - Base Stat: 160 - Effort: 2
Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 5 - Base Stat: 160 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10002 - Stat ID: 6 - Base Stat: 90 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10002 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10002 - Egg Group ID: 15

Já cadastrado  - Pokemon Generation | Pokemon ID: 10002 - Generation ID: 3

Já cadastrado  - Pokemon Habitat | Pokemon ID: 10002 - Habitat ID: 5

Já cadastrado  - Pokemon Shape | Pokemon ID: 10002 - Shape ID: 12


-------------------------

Atualizado - Pokemon | 10003 - Deoxys-speed

Atualizado - Pokemon Ability | Pokemon ID: 10003 - Ability Id: 46 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 2 - Base Stat: 95 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 3 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 4 - Base Stat: 95 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 5 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10003 - Stat ID: 6 - Base Stat: 180 - Effort: 3

Já cadastrado  - Pokemon Color | Pokemon ID: 10003 - Color ID: 8

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10003 - Egg Group ID: 15

Já cadastrado  - Pokemon Generation | Pokemon ID: 10003 - Generation ID: 3

Já cadastrado  - Pokemon Habitat | Pokemon ID: 10003 - Habitat ID: 5

Já cadastrado  - Pokemon Shape | Pokemon ID: 10003 - Shape ID: 12


-------------------------

Atualizado - Pokemon | 10004 - Wormadam-sandy

Atualizado - Pokemon Ability | Pokemon ID: 10004 - Ability Id: 107 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 10004 - Ability Id: 142 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 1 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 2 - Base Stat: 79 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 3 - Base Stat: 105 - Effort: 2
Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 4 - Base Stat: 59 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 5 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10004 - Stat ID: 6 - Base Stat: 36 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10004 - Color ID: 5

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10004 - Egg Group ID: 3

Já cadastrado  - Pokemon Generation | Pokemon ID: 10004 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10004 - Shape ID: 5


-------------------------

Atualizado - Pokemon | 10005 - Wormadam-trash

Atualizado - Pokemon Ability | Pokemon ID: 10005 - Ability Id: 107 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 10005 - Ability Id: 142 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 1 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 2 - Base Stat: 69 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 3 - Base Stat: 95 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 4 - Base Stat: 69 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 5 - Base Stat: 95 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 10005 - Stat ID: 6 - Base Stat: 36 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 10005 - Color ID: 5

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10005 - Egg Group ID: 3

Já cadastrado  - Pokemon Generation | Pokemon ID: 10005 - Generation ID: 4

Já cadastrado  - Pokemon Shape | Pokemon ID: 10005 - Shape ID: 5


-------------------------

Atualizado - Pokemon | 10006 - Shaymin-sky

Atualizado - Pokemon Ability | Pokemon ID: 10006 - Ability Id: 32 - Is True: 0

Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 1 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 2 - Base Stat: 103 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 3 - Base Stat: 75 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 4 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 5 - Base Stat: 75 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 10006 - Stat ID: 6 - Base Stat: 127 - Effort: 3

Já cadastrado  - Pokemon Color | Pokemon ID: 10006 - Color ID: 5

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 10006 - Egg Group ID: 15

Já cadastrado  - Pokemon Generation | Pokemon ID: 10006 - Generation ID: 4

