Cadastrado - Ability | 1 - Stench - Fedor
Cadastrado - Ability | 2 - Drizzle - Chuvisco
Cadastrado - Ability | 3 - Speed-boost - Acelerador
Cadastrado - Ability | 4 - Battle-armor - Armadura de Batalha
Cadastrado - Ability | 5 - Sturdy - Resistência
Cadastrado - Ability | 6 - Damp - Umidade
Cadastrado - Ability | 7 - Limber - Flexibilidade
Cadastrado - Ability | 8 - Sand-veil - Véu de Areia
Cadastrado - Ability | 9 - Static - Estática
Cadastrado - Ability | 10 - Volt-absorb - Absorve-Volts
Cadastrado - Ability | 11 - Water-absorb - Absorve-Água
Cadastrado - Ability | 12 - Oblivious - Inconsciência
Cadastrado - Ability | 13 - Cloud-nine - Nuvem Nove
Cadastrado - Ability | 14 - Compound-eyes - Olhos Compostos
Cadastrado - Ability | 15 - Insomnia - Insônia
Cadastrado - Ability | 16 - Color-change - Mudança de Cor
Cadastrado - Ability | 17 - Immunity - Imunidade
Cadastrado - Ability | 18 - Flash-fire - Fogo Recebido
Cadastrado - Ability | 19 - Shield-dust - Escudo de Poeira
Cadastrado - Ability | 20 - Own-tempo - Ritmo Próprio
Cadastrado - Ability | 21 - Suction-cups - Ventosas
Cadastrado - Ability | 22 - Intimidate - Intimidar
Cadastrado - Ability | 23 - Shadow-tag - Etiqueta Sombria
Cadastrado - Ability | 24 - Rough-skin - Pele Áspera
Cadastrado - Ability | 25 - Wonder-guard - Guarda Maravilhosa
Cadastrado - Ability | 26 - Levitate - Levitação
Cadastrado - Ability | 27 - Effect-spore - Efeito Espora
Cadastrado - Ability | 28 - Synchronize - Sincronismo
Cadastrado - Ability | 29 - Clear-body - Corpo Limpo
Cadastrado - Ability | 30 - Natural-cure - Cura Natura
Cadastrado - Ability | 31 - Lightning-rod - Vara-Relâmpago
Cadastrado - Ability | 32 - Serene-grace - Graça Serena
Cadastrado - Ability | 33 - Swift-swim - Nado Rápido
Cadastrado - Ability | 34 - Chlorophyll - Clorofila
Cadastrado - Ability | 35 - Illuminate - Iluminar
Cadastrado - Ability | 36 - Trace - Rastro
Cadastrado - Ability | 37 - Huge-power - Poder Imenso
Cadastrado - Ability | 38 - Poison-point - Ponto de Veneno
Cadastrado - Ability | 39 - Inner-focus - Concentração Interna
Cadastrado - Ability | 40 - Magma-armor - Armadura de Magm
Cadastrado - Ability | 41 - Water-veil - Véu de Água
Cadastrado - Ability | 42 - Magnet-pull - Magnetismo
Cadastrado - Ability | 43 - Soundproof - Insonorização
Cadastrado - Ability | 44 - Rain-dish - Chuva do Desejo
Cadastrado - Ability | 45 - Sand-stream - Córrego de Areia
Cadastrado - Ability | 46 - Pressure - Pressão
Cadastrado - Ability | 47 - Thick-fat - Gordura Espessa
Cadastrado - Ability | 48 - Early-bird - Passáro Precoce
Cadastrado - Ability | 49 - Flame-body - Corpo em Chamas
Cadastrado - Ability | 50 - Run-away - Fuga
Cadastrado - Ability | 51 - Keen-eye - Olho Entusiasmado
Cadastrado - Ability | 52 - Hyper-cutter - Hiper Cortador
Cadastrado - Ability | 53 - Pickup - Capturar
Cadastrado - Ability | 54 - Truant - Preguiça
Cadastrado - Ability | 55 - Hustle - Entusiasmo
Cadastrado - Ability | 56 - Cute-charm - Charme Gracioso
Cadastrado - Ability | 57 - Plus - Mais
Cadastrado - Ability | 58 - Minus - Menos
Cadastrado - Ability | 59 - Forecast - Previsão do Tempo
Cadastrado - Ability | 60 - Sticky-hold - Viscosidade
Cadastrado - Ability | 61 - Shed-skin - Pele vertente
Cadastrado - Ability | 62 - Guts - Músculos
Cadastrado - Ability | 63 - Marvel-scale - Escama Maravilha
Cadastrado - Ability | 64 - Liquid-ooze - Lodo Líquido
Cadastrado - Ability | 65 - Overgrow - Super Crescimento
Cadastrado - Ability | 66 - Blaze - Incêndio
Cadastrado - Ability | 67 - Torrent - Dilúvi
Cadastrado - Ability | 68 - Swarm - Enxame
Cadastrado - Ability | 69 - Rock-head - Cabeça de Pedra
Cadastrado - Ability | 70 - Drought - Seca/Calor Desértico
Cadastrado - Ability | 71 - Arena-trap - Arena-Armadilha
Cadastrado - Ability | 72 - Vital-spirit - Espírito Vital
Cadastrado - Ability | 73 - White-smoke - Fumo Branco
Cadastrado - Ability | 74 - Pure-power - Poder Puro
Cadastrado - Ability | 75 - Shell-armor - Armadura de Concha
Cadastrado - Ability | 76 - Air-lock - Bloqueio Aéreo
Cadastrado - Ability | 77 - Tangled-feet - Pés Laçados
Cadastrado - Ability | 78 - Motor-drive - Impulso Motor
Cadastrado - Ability | 79 - Rivalry - Rivalidade
Cadastrado - Ability | 80 - Steadfast - Inabalável
Cadastrado - Ability | 81 - Snow-cloak - Capa de Neve
Cadastrado - Ability | 82 - Gluttony - Gulodice
Cadastrado - Ability | 83 - Anger-point - Ponto de Raiva
Cadastrado - Ability | 84 - Unburden - Sem Peso
Cadastrado - Ability | 85 - Heatproof - À Prova de Calor
Cadastrado - Ability | 86 - Simple - Simplificar
Cadastrado - Ability | 87 - Dry-skin - Pele Seca
Cadastrado - Ability | 88 - Download - Descarga
Cadastrado - Ability | 89 - Iron-fist - Punho de Ferro
Cadastrado - Ability | 90 - Poison-heal - Antídoto
Cadastrado - Ability | 91 - Adaptability - Adaptabilidade
Cadastrado - Ability | 92 - Skill-link - Liga Habilidade
Cadastrado - Ability | 93 - Hydration - Hidratação
Cadastrado - Ability | 94 - Solar-power - Poder Solar
Cadastrado - Ability | 95 - Quick-feet - Pés Rápidos
Cadastrado - Ability | 96 - Normalize - Normalidade
Cadastrado - Ability | 97 - Sniper - Franco-Atirador
Cadastrado - Ability | 98 - Magic-guard - Escudo Mágico
Cadastrado - Ability | 99 - No-guard - Sem Proteção
Cadastrado - Ability | 100 - Stall - Adiar
Cadastrado - Ability | 101 - Technician - Técnico
Cadastrado - Ability | 102 - Leaf-guard - Guarda Folha
Cadastrado - Ability | 103 - Klutz - Grosseria
Cadastrado - Ability | 104 - Mold-breaker - Destruidor de Molde
Cadastrado - Ability | 105 - Super-luck - Supersorte
Cadastrado - Ability | 106 - Aftermath - Consequência
Cadastrado - Ability | 107 - Anticipation - Antecipação
Cadastrado - Ability | 108 - Forewarn - Profecia
Cadastrado - Ability | 109 - Unaware - Ignorante
Cadastrado - Ability | 110 - Tinted-lens - Olhos Escuros
Cadastrado - Ability | 111 - Filter - Filtragem
Cadastrado - Ability | 112 - Slow-start - Começo Lento
Cadastrado - Ability | 113 - Scrappy - Transparência
Cadastrado - Ability | 114 - Storm-drain - Drena-Tempestades
Cadastrado - Ability | 115 - Ice-body - Corpo de Gelo
Cadastrado - Ability | 116 - Solid-rock - Rocha Sólida
Cadastrado - Ability | 117 - Snow-warning - Alerta de Neve
Cadastrado - Ability | 118 - Honey-gather - Pegar Mel
Cadastrado - Ability | 119 - Frisk - Bisbilhotar
Cadastrado - Ability | 120 - Reckless - Imprudência
Cadastrado - Ability | 121 - Multitype - Multitipo
Cadastrado - Ability | 122 - Flower-gift - Presente da Flor
Cadastrado - Ability | 123 - Bad-dreams - Pesadelos
Cadastrado - Ability | 124 - Pickpocket - Furto
Cadastrado - Ability | 125 - Sheer-force - Força Absoluta
Cadastrado - Ability | 126 - Contrary - Contrário
Cadastrado - Ability | 127 - Unnerve - Enervar
Cadastrado - Ability | 128 - Defiant - Desafiante
Cadastrado - Ability | 129 - Defeatist - Derrotável
Cadastrado - Ability | 130 - Cursed-body - Corpo Amaldiçoado
Cadastrado - Ability | 131 - Healer - Cura
Cadastrado - Ability | 132 - Friend-guard - Proteção Amiga
Cadastrado - Ability | 133 - Weak-armor - Armadura Fraca
