Atualizado - Ability | 1 - Stench - Fedor
Atualizado - Ability | 2 - Drizzle - Chuvisco
Atualizado - Ability | 3 - Speed-boost - Acelerador
Atualizado - Ability | 4 - Battle-armor - Armadura de Batalha
Atualizado - Ability | 5 - Sturdy - Resistência
Atualizado - Ability | 6 - Damp - Umidade
Atualizado - Ability | 7 - Limber - Flexibilidade
Atualizado - Ability | 8 - Sand-veil - Véu de Areia
Atualizado - Ability | 9 - Static - Estática
Atualizado - Ability | 10 - Volt-absorb - Absorve-Volts
Atualizado - Ability | 11 - Water-absorb - Absorve-Água
Atualizado - Ability | 12 - Oblivious - Inconsciência
Atualizado - Ability | 13 - Cloud-nine - Nuvem Nove
Atualizado - Ability | 14 - Compound-eyes - Olhos Compostos
Atualizado - Ability | 15 - Insomnia - Insônia
Atualizado - Ability | 16 - Color-change - Mudança de Cor
Atualizado - Ability | 17 - Immunity - Imunidade
Atualizado - Ability | 18 - Flash-fire - Fogo Recebido
Atualizado - Ability | 19 - Shield-dust - Escudo de Poeira
Atualizado - Ability | 20 - Own-tempo - Ritmo Próprio
Atualizado - Ability | 21 - Suction-cups - Ventosas
Atualizado - Ability | 22 - Intimidate - Intimidar
Atualizado - Ability | 23 - Shadow-tag - Etiqueta Sombria
Atualizado - Ability | 24 - Rough-skin - Pele Áspera
Atualizado - Ability | 25 - Wonder-guard - Guarda Maravilhosa
Atualizado - Ability | 26 - Levitate - Levitação
Atualizado - Ability | 27 - Effect-spore - Efeito Espora
Atualizado - Ability | 28 - Synchronize - Sincronismo
Atualizado - Ability | 29 - Clear-body - Corpo Limpo
Atualizado - Ability | 30 - Natural-cure - Cura Natura
Atualizado - Ability | 31 - Lightning-rod - Vara-Relâmpago
Atualizado - Ability | 32 - Serene-grace - Graça Serena
Atualizado - Ability | 33 - Swift-swim - Nado Rápido
Atualizado - Ability | 34 - Chlorophyll - Clorofila
Atualizado - Ability | 35 - Illuminate - Iluminar
Atualizado - Ability | 36 - Trace - Rastro
Atualizado - Ability | 37 - Huge-power - Poder Imenso
